Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
833.900697,1018.846491,0.21,86.46,6,1,13.99,11.2,1.249107142857143,175.2510240000001
833.900697,1018.846491,0.21,86.46,6,1,13.99,0.0,inf,175.2510240000001
1413.399842,1023.293676,0.116,82.15,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
1413.399842,1023.293676,0.116,82.15,7,0,14.33,0.0,inf,340.75648900000084
706.900433,1034.926293,0.23,85.26,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
706.900433,1034.926293,0.23,85.26,7,0,14.33,0.0,inf,340.75648900000084
816.100678,1036.716665,0.182,91.56,6,1,13.99,11.2,1.249107142857143,175.2510240000001
816.100678,1036.716665,0.182,91.56,6,1,13.99,0.0,inf,175.2510240000001
937.850642,1040.173647,0.222,85.6,11,0,14.33,0.0,inf,209.20896600000006
937.850642,1040.173647,0.222,85.6,11,0,14.33,11.3,1.2681415929203539,209.20896600000006
155.050869,1049.702185,0.172,86.06,6,0,13.99,0.0,inf,175.2510240000001
155.050869,1049.702185,0.172,86.06,6,0,13.99,11.2,1.249107142857143,175.2510240000001
828.700399,1056.815211,0.112,112.91,11,0,14.33,11.3,1.2681415929203539,209.20896600000006
828.700399,1056.815211,0.112,112.91,11,0,14.33,0.0,inf,209.20896600000006
122.700018,1061.45672,0.178,91.94,12,1,14.82,11.8,1.2559322033898304,4.350248999999991
122.700018,1061.45672,0.178,91.94,12,1,14.82,0.0,inf,4.350248999999991
792.850348,1061.831575,0.146,98.18,11,0,14.33,11.3,1.2681415929203539,209.20896600000006
793.000357,1061.831575,0.146,98.18,11,0,14.33,0.0,inf,209.20896600000006
793.000357,1061.831575,0.146,98.18,11,0,14.33,11.3,1.2681415929203539,209.20896600000006
792.850348,1061.831575,0.146,98.18,11,0,14.33,0.0,inf,209.20896600000006
816.000673,1065.377874,0.152,84.74,6,1,13.99,11.2,1.249107142857143,175.2510240000001
816.000673,1065.377874,0.152,84.74,6,1,13.99,0.0,inf,175.2510240000001
828.600393,1066.352419,0.218,85.02,11,0,14.33,11.3,1.2681415929203539,209.20896600000006
828.600393,1066.352419,0.218,85.02,11,0,14.33,0.0,inf,209.20896600000006
833.800691,1075.336356,0.2,83.41,6,1,13.99,0.0,inf,175.2510240000001
833.800691,1075.336356,0.2,83.41,6,1,13.99,11.2,1.249107142857143,175.2510240000001
792.750342,1082.442329,0.166,86.92,11,0,14.33,0.0,inf,209.20896600000006
792.750342,1082.442329,0.166,86.92,11,0,14.33,11.3,1.2681415929203539,209.20896600000006
1413.499847,1086.249567,0.152,78.99,7,0,14.33,0.0,inf,340.75648900000084
1413.499847,1086.249567,0.152,78.99,7,0,14.33,11.3,1.2681415929203539,340.75648900000084
