Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
74.850281,740.482984,0.124,86.74,5,0,13.99,11.2,1.249107142857143,0.0
74.750276,797.458212,0.124,92.37,5,0,13.99,11.2,1.249107142857143,0.0
74.450258,804.566941,0.11,95.34,5,0,13.99,11.2,1.249107142857143,0.0
74.65027,821.63537,0.126,87.3,5,0,13.99,11.2,1.249107142857143,0.0
74.350253,822.985835,0.14,88.77,5,0,13.99,11.2,1.249107142857143,0.0
1413.299836,849.335234,0.14,85.89,7,1,14.33,11.3,1.2681415929203539,2245.699446
834.300719,851.959282,0.098,96.78,6,1,13.99,11.2,1.249107142857143,165.1504460000001
74.950287,860.344484,0.106,80.8,5,0,13.99,11.2,1.249107142857143,0.0
74.250247,863.737131,0.132,91.29,5,0,13.99,11.2,1.249107142857143,0.0
74.150241,863.737131,0.132,91.29,5,0,13.99,11.2,1.249107142857143,0.0
122.900029,864.712327,0.176,98.77,12,0,14.82,11.8,1.2559322033898304,0.0
155.549897,867.172594,0.12,86.16,6,1,13.99,11.2,1.249107142857143,165.1504460000001
834.200714,867.386074,0.154,83.7,6,1,13.99,11.2,1.249107142857143,165.1504460000001
834.100708,867.386074,0.154,83.7,6,1,13.99,11.2,1.249107142857143,165.1504460000001
74.550264,876.455751,0.106,79.41,5,0,13.99,11.2,1.249107142857143,0.0
122.800024,880.814375,0.18,85.24,12,0,14.82,11.8,1.2559322033898304,0.0
74.050236,893.385369,0.158,91.45,5,0,13.99,11.2,1.249107142857143,0.0
123.050038,895.776477,0.184,75.45,12,0,14.82,11.8,1.2559322033898304,0.0
123.150043,913.06734,0.246,68.93,12,0,14.82,11.8,1.2559322033898304,0.0
155.449891,918.262675,0.154,92.23,6,0,13.99,11.2,1.249107142857143,165.1504460000001
73.95023,923.463315,0.148,90.0,5,0,13.99,11.2,1.249107142857143,0.0
123.250049,925.867136,0.422,63.9,12,0,14.82,11.8,1.2559322033898304,0.0
155.349885,942.063834,0.138,91.24,6,0,13.99,11.2,1.249107142857143,165.1504460000001
73.850224,961.076337,0.158,85.06,5,0,13.99,11.2,1.249107142857143,0.0
155.24988,968.961673,0.148,93.09,6,0,13.99,11.2,1.249107142857143,165.1504460000001
937.950647,970.132444,0.148,87.68,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
834.000702,973.574758,0.178,87.44,6,1,13.99,11.2,1.249107142857143,165.1504460000001
1413.199831,984.983918,0.19,85.19,7,1,14.33,11.3,1.2681415929203539,2245.699446
707.000438,987.904494,0.16,90.0,7,1,14.33,11.3,1.2681415929203539,2245.699446
155.150874,992.205676,0.136,86.24,6,0,13.99,11.2,1.249107142857143,165.1504460000001
816.200684,997.185684,0.154,88.49,6,1,13.99,11.2,1.249107142857143,165.1504460000001
833.900697,1018.846491,0.21,86.46,6,1,13.99,11.2,1.249107142857143,165.1504460000001
1413.399842,1023.293676,0.116,82.15,7,1,14.33,11.3,1.2681415929203539,2245.699446
706.900433,1034.926293,0.23,85.26,7,1,14.33,11.3,1.2681415929203539,2245.699446
816.100678,1036.716665,0.182,91.56,6,1,13.99,11.2,1.249107142857143,165.1504460000001
937.850642,1040.173647,0.222,85.6,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
155.050869,1049.702185,0.172,86.06,6,0,13.99,11.2,1.249107142857143,165.1504460000001
828.700399,1056.815211,0.112,112.91,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
122.700018,1061.45672,0.178,91.94,12,0,14.82,11.8,1.2559322033898304,0.0
792.850348,1061.831575,0.146,98.18,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
793.000357,1061.831575,0.146,98.18,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
816.000673,1065.377874,0.152,84.74,6,1,13.99,11.2,1.249107142857143,165.1504460000001
828.600393,1066.352419,0.218,85.02,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
833.800691,1075.336356,0.2,83.41,6,1,13.99,11.2,1.249107142857143,165.1504460000001
792.750342,1082.442329,0.166,86.92,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
1413.499847,1086.249567,0.152,78.99,7,1,14.33,11.3,1.2681415929203539,2245.699446
122.600012,1098.115654,0.222,84.92,12,0,14.82,11.8,1.2559322033898304,0.0
73.750218,1100.238678,0.19,87.89,5,0,13.99,11.2,1.249107142857143,0.0
131.350513,1101.708875,0.158,92.54,7,1,14.33,11.3,1.2681415929203539,2245.699446
1432.299923,1108.647777,0.162,89.65,7,1,14.33,11.3,1.2681415929203539,2245.699446
600.450344,1110.639757,0.196,90.87,1,1,14.6,11.8,1.2372881355932202,148.39948799999996
154.950863,1112.864631,0.174,86.42,6,0,13.99,11.2,1.249107142857143,165.1504460000001
123.351055,1114.058717,1.624,81.84,12,0,14.82,11.8,1.2559322033898304,0.0
2813.749938,1126.422312,0.012,85.24,7,1,14.33,11.3,1.2681415929203539,2245.699446
123.551066,1132.086235,0.606,66.32,12,0,14.82,11.8,1.2559322033898304,0.0
123.451061,1132.086235,0.606,66.32,12,0,14.82,11.8,1.2559322033898304,0.0
131.250507,1138.404571,0.222,85.88,7,1,14.33,11.3,1.2681415929203539,2245.699446
2813.849943,1144.858205,0.006,66.8,7,1,14.33,11.3,1.2681415929203539,2245.699446
2813.949949,1145.350004,0.004,-180.0,7,1,14.33,11.3,1.2681415929203539,2245.699446
600.350338,1151.346266,0.212,85.19,1,1,14.6,11.8,1.2372881355932202,148.39948799999996
815.900667,1154.710427,0.194,87.29,6,1,13.99,11.2,1.249107142857143,165.1504460000001
2830.499896,1158.226697,0.014,-94.4,7,1,14.33,11.3,1.2681415929203539,2245.699446
73.650213,1164.656659,0.216,85.5,5,0,13.99,11.2,1.249107142857143,0.0
1432.199917,1164.723455,0.224,85.66,7,1,14.33,11.3,1.2681415929203539,2245.699446
123.650072,1166.317112,0.418,74.0,12,0,14.82,11.8,1.2559322033898304,0.0
827.800348,1168.724651,0.178,84.84,6,1,13.99,11.2,1.249107142857143,165.1504460000001
154.750851,1175.055717,0.198,88.27,6,0,13.99,11.2,1.249107142857143,165.1504460000001
154.850857,1175.055717,0.198,88.27,6,0,13.99,11.2,1.249107142857143,165.1504460000001
792.650337,1179.624262,0.184,90.93,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
123.750078,1191.985771,0.446,70.63,12,0,14.82,11.8,1.2559322033898304,0.0
60.545463,1196.021185,0.218,84.5,4,0,14.0,11.2,1.25,0.0
937.750636,1205.29173,0.24,85.73,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
2830.699907,1208.670362,0.002,-90.0,7,1,14.33,11.3,1.2681415929203539,2245.699446
815.800661,1209.764539,0.21,84.59,6,1,13.99,11.2,1.249107142857143,165.1504460000001
2863.299771,1210.632366,0.012,135.0,7,1,14.33,11.3,1.2681415929203539,2245.699446
2835.100159,1210.716076,0.012,-94.4,7,1,14.33,11.3,1.2681415929203539,2245.699446
2863.199766,1215.645418,0.012,-94.4,7,1,14.33,11.3,1.2681415929203539,2245.699446
2830.799912,1216.06742,0.002,-135.0,7,1,14.33,11.3,1.2681415929203539,2245.699446
2830.899918,1216.06742,0.002,-135.0,7,1,14.33,11.3,1.2681415929203539,2245.699446
154.650846,1223.124419,0.192,92.64,6,0,13.99,11.2,1.249107142857143,165.1504460000001
2835.200164,1224.076111,0.016,59.54,7,1,14.33,11.3,1.2681415929203539,2245.699446
829.100421,1224.778407,0.158,92.9,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
829.000416,1224.778407,0.158,92.9,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
825.500216,1225.926612,0.238,85.68,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
825.600222,1225.926612,0.238,85.68,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
792.550331,1226.126032,0.14,95.63,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
833.700685,1226.926046,0.208,86.15,6,1,13.99,11.2,1.249107142857143,165.1504460000001
2835.400176,1229.558315,0.004,135.0,7,1,14.33,11.3,1.2681415929203539,2245.699446
2835.30017,1234.649735,0.012,53.97,7,1,14.33,11.3,1.2681415929203539,2245.699446
794.700454,1243.279676,0.194,86.76,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
2844.399691,1246.618592,0.014,85.92,7,1,14.33,11.3,1.2681415929203539,2245.699446
826.80029,1248.05341,0.18,130.64,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
2834.800141,1249.886086,0.028,-94.09,7,1,14.33,11.3,1.2681415929203539,2245.699446
2834.902147,1252.818365,0.01,-160.02,7,1,14.33,11.3,1.2681415929203539,2245.699446
154.55084,1253.657242,0.202,87.75,6,0,13.99,11.2,1.249107142857143,165.1504460000001
826.702284,1253.998257,0.196,85.65,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
792.450325,1255.185496,0.194,87.95,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
828.90041,1262.607513,0.162,89.65,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
1412.999819,1263.104462,0.276,86.06,7,1,14.33,11.3,1.2681415929203539,2245.699446
827.700342,1263.872584,0.23,85.28,6,1,13.99,11.2,1.249107142857143,165.1504460000001
827.600336,1263.872584,0.23,85.28,6,1,13.99,11.2,1.249107142857143,165.1504460000001
123.850084,1264.05673,0.438,78.61,12,0,14.82,11.8,1.2559322033898304,0.0
2830.599901,1266.200068,0.006,-99.46,7,1,14.33,11.3,1.2681415929203539,2245.699446
131.450519,1268.207742,0.172,81.68,7,1,14.33,11.3,1.2681415929203539,2245.699446
794.80046,1286.062432,0.304,75.11,11,1,14.33,11.3,1.2681415929203539,188.85680300000013
123.950089,1287.251657,0.464,68.22,12,0,14.82,11.8,1.2559322033898304,0.0
2845.199736,1287.989984,0.014,101.31,7,1,14.33,11.3,1.2681415929203539,2245.699446
1413.099825,1289.850586,0.194,70.45,7,1,14.33,11.3,1.2681415929203539,2245.699446
2851.700108,1290.732783,0.004,165.96,7,1,14.33,11.3,1.2681415929203539,2245.699446
