Time,Res_Freq,Amplitude,Phase,Sample_number,Peak,Before_compression,After_compression,Compression_ratio,Compression_time
148.500494,1621.852374,5.542,-81.65,1,0,14.6,11.8,1.2372881355932202,0
148.6035,1621.852374,5.542,-81.65,1,0,14.6,11.8,1.2372881355932202,0
47.050691,1701.435047,1.022,-85.87,11,0,15.66,12.5,1.2528,0
47.150697,1653.537323,1.222,-86.2,11,0,15.66,12.5,1.2528,0
47.250703,1606.609588,1.4,-86.28,11,0,15.66,12.5,1.2528,0
76.650384,3186.114641,1.082,36.52,12,0,16.33,13.49,1.2105263157894735,0
76.75539,3225.561857,1.076,62.28,12,0,16.33,13.49,1.2105263157894735,0
76.850396,3317.156975,1.224,74.11,12,0,16.33,13.49,1.2105263157894735,0
76.950401,3394.317262,1.528,71.99,12,0,16.33,13.49,1.2105263157894735,0
77.050407,3472.934238,1.538,71.94,12,0,16.33,13.49,1.2105263157894735,0
77.155413,3541.112883,2.0,69.86,12,0,16.33,13.49,1.2105263157894735,0
77.250419,3544.261541,1.384,5.54,12,0,16.33,13.49,1.2105263157894735,0
77.351424,3555.89213,2.404,28.35,12,0,16.33,13.49,1.2105263157894735,0
77.45043,3582.794303,2.468,51.05,12,0,16.33,13.49,1.2105263157894735,0
77.600439,3565.440673,2.072,-49.29,12,0,16.33,13.49,1.2105263157894735,0
77.700444,3550.272573,1.684,-45.5,12,0,16.33,13.49,1.2105263157894735,0
47.349708,2077.957608,1.104,-90.57,13,0,15.99,13.16,1.215045592705167,0
48.399768,2465.605705,1.198,-61.27,13,0,15.99,13.16,1.215045592705167,0
48.59978,2007.548451,1.154,-91.19,13,0,15.99,13.16,1.215045592705167,0
48.699786,1960.197164,1.276,-83.89,13,0,15.99,13.16,1.215045592705167,0
48.799791,1850.704526,1.44,-90.76,13,0,15.99,13.16,1.215045592705167,0
48.899797,1759.742019,1.706,-90.07,13,0,15.99,13.16,1.215045592705167,0
48.999803,1688.70426,2.088,-88.82,13,0,15.99,13.16,1.215045592705167,0
49.111809,1634.456879,2.462,-87.03,13,0,15.99,13.16,1.215045592705167,0
49.199814,1603.745768,2.148,-80.93,13,0,15.99,13.16,1.215045592705167,0
